Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion,Score
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …",neutral,0.8067057728767395
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,fear,0.6874536871910095
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …,neutral,0.6458386778831482
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,neutral,0.9144959449768066
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",sadness,0.3977239727973938
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,neutral,0.6610086560249329
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,surprise,0.5485748052597046
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,disgust,0.5175091028213501
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,anger,0.44832345843315125
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,neutral,0.8701437711715698
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,anger,0.4762662947177887
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,surprise,0.7165479063987732
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,neutral,0.9359434247016907
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,surprise,0.33806854486465454
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,anger,0.4970567524433136
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,surprise,0.5850765109062195
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,neutral,0.5718185305595398
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,neutral,0.8922234177589417
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,disgust,0.7113777995109558
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,disgust,0.4223417639732361
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,disgust,0.5945844650268555
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,neutral,0.9180472493171692
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,neutral,0.810920774936676
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,anger,0.396769642829895
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,sadness,0.6840710043907166
2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.,neutral,0.49493780732154846
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,neutral,0.5008934140205383
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,neutral,0.837988018989563
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!,anger,0.32835668325424194
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,anger,0.7931816577911377
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",anger,0.6864616870880127
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",anger,0.44347697496414185
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",sadness,0.8756555914878845
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,neutral,0.9567826390266418
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",anger,0.3991629481315613
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,surprise,0.3835502564907074
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,anger,0.7058913707733154
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,surprise,0.5850765109062195
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",neutral,0.7360541820526123
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",fear,0.8997836112976074
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",fear,0.9411090016365051
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",fear,0.8835881352424622
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,anger,0.5744748711585999
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,neutral,0.4700300693511963
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,sadness,0.9185437560081482
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",anger,0.7748369574546814
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,disgust,0.3538668751716614
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",neutral,0.7167877554893494
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,neutral,0.3064548969268799
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.,neutral,0.9583104848861694
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,surprise,0.9607738852500916
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.,neutral,0.926910936832428
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",sadness,0.9784906506538391
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.,neutral,0.8325085639953613
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,sadness,0.5987625122070312
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …,neutral,0.6324610710144043
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,neutral,0.8705741763114929
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after.",neutral,0.9505848288536072
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",neutral,0.5494977235794067
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,neutral,0.9116387367248535
2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.,neutral,0.725701630115509
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,surprise,0.4675462245941162
2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,neutral,0.9101261496543884
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",neutral,0.8996877670288086
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,anger,0.6357252597808838
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",disgust,0.47385117411613464
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,disgust,0.7732502818107605
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,anger,0.5241380333900452
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",neutral,0.5838610529899597
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",disgust,0.46157532930374146
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,surprise,0.7770419716835022
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,surprise,0.6572551727294922
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!,anger,0.4840588867664337
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me,neutral,0.5457678437232971
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.,neutral,0.7003604769706726
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?,surprise,0.6594977378845215
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?,surprise,0.9222370982170105
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,neutral,0.35775521397590637
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?",neutral,0.4417225122451782
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",joy,0.4577465355396271
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!,anger,0.5051332116127014
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.,neutral,0.8369210958480835
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.,disgust,0.8674315810203552
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!,surprise,0.328904926776886
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.,neutral,0.8369210958480835
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,anger,0.5048760175704956
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",neutral,0.7416481375694275
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?,neutral,0.8206883668899536
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?,anger,0.9084860682487488
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",surprise,0.8565859794616699
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.,neutral,0.49944642186164856
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,neutral,0.41230514645576477
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.,neutral,0.8435055613517761
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.,anger,0.6995350122451782
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.,disgust,0.35867437720298767
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.,disgust,0.35867437720298767
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.,sadness,0.7226002216339111
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",neutral,0.7636494040489197
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.,neutral,0.7750338315963745
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.,neutral,0.7900732159614563
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.,neutral,0.9318144917488098
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",disgust,0.5156701803207397
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.,neutral,0.9015772938728333
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",disgust,0.5297716856002808
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.,neutral,0.5630267262458801
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",anger,0.7837951183319092
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.,sadness,0.9102966785430908
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",anger,0.704437255859375
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Mmh. It is true what they say about the Northern girls.,disgust,0.5050231218338013
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?,surprise,0.6073135137557983
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I did hear something about that.,neutral,0.7858848571777344
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,neutral,0.7930070757865906
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,And the other brother?,surprise,0.6231828331947327
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?,neutral,0.5045924782752991
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,There's the pretty one. And there's the clever one.,neutral,0.6543482542037964
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.,neutral,0.7373384833335876
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I hear he hates that nickname.,disgust,0.5963745713233948
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,disgust,0.4077513813972473
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Clever girl.,neutral,0.48150384426116943
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion.",neutral,0.8360231518745422
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Have you?,neutral,0.6100188493728638
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,The gods gave me one blessing.,joy,0.546174168586731
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.,anger,0.38921117782592773
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.,neutral,0.5880469083786011
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",disgust,0.6346656084060669
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",neutral,0.6185327768325806
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"She has odd cravings, our sister.",neutral,0.60380619764328
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",disgust,0.4863986372947693
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",sadness,0.7876886129379272
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",neutral,0.7554269433021545
2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Close the door!,anger,0.49755769968032837
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,disgust,0.4956773817539215
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.,neutral,0.9462548494338989
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.,neutral,0.7505415081977844
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night.",fear,0.8815404772758484
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone.",neutral,0.8993968367576599
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.,neutral,0.9121025204658508
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys!,surprise,0.4307670593261719
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,surprise,0.30259716510772705
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,neutral,0.9159727096557617
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",anger,0.41922256350517273
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.,neutral,0.8298875689506531
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"When they write the history of my reign, sweet sister, they will say it began today.",neutral,0.9749300479888916
2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"It's too hot, my lady.",sadness,0.45675644278526306
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where is he?,neutral,0.6363350749015808
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The Dothraki are not known for their punctuality.,neutral,0.8858745098114014
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",joy,0.5289651155471802
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",disgust,0.7102150321006775
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Come forward, my dear.",neutral,0.5597773790359497
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where's he going?,neutral,0.4596051275730133
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The ceremony is over.,joy,0.4703048765659332
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,But he didn't say anything. Did he like her?,disgust,0.5055642127990723
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",fear,0.42993465065956116
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,anger,0.5716276168823242
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,When will they be married?,neutral,0.5802295804023743
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,Soon. The Dothraki never stay still for long.,neutral,0.8350418210029602
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Is it true they lie with their horses?,disgust,0.38263800740242004
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I wouldn't ask Khal Drogo.,neutral,0.9302990436553955
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Do you take me for a fool?,anger,0.8955251574516296
2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,anger,0.8380237817764282
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.,neutral,0.896835446357727
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.,sadness,0.935188889503479
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",sadness,0.4595911204814911
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.,surprise,0.6272886395454407
2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",anger,0.6867385506629944
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,disgust,0.5632407069206238
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.,disgust,0.49911054968833923
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.,neutral,0.4931783080101013
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?,neutral,0.7629026770591736
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.,disgust,0.6346569061279297
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,anger,0.5691404342651367
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,neutral,0.4992172420024872
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.,neutral,0.7400241494178772
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Sansa…,neutral,0.8214703798294067
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"Please, please. It's the only thing I ever wanted.",sadness,0.4419349730014801
2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,Is he dead yet?,neutral,0.4619489312171936
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Uncle Benjen!,anger,0.6898604035377502
2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,surprise,0.4133910834789276
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,anger,0.5691310167312622
