Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran."
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.
2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"Quick, Bran, faster!"
2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat."
2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"The law is law, my lady."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest."
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block."
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"Forgive me, lord."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …"
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.
2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you."
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!"
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran."
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you"
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.
2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.
